features,classifiers,microf
graph,KNN,0.708
graph,LogisticRegression,0.697
graph,NaiveBayes,0.705
graph,NNkeras,0.715
graph,NNscikit-learn,0.716
graph,RandomForest,0.682
graph,KNN,0.725
graph,LogisticRegression,0.707
graph,NaiveBayes,0.713
graph,NNkeras,0.725
graph,NNscikit-learn,0.722
graph,RandomForest,0.698
graph,KNN,0.721
graph,LogisticRegression,0.705
graph,NaiveBayes,0.713
graph,NNkeras,0.711
graph,NNscikit-learn,0.707
graph,RandomForest,0.709
graph,KNN,0.714
graph,LogisticRegression,0.698
graph,NaiveBayes,0.704
graph,NNkeras,0.732
graph,NNscikit-learn,0.721
graph,RandomForest,0.698
graph,KNN,0.209
graph,LogisticRegression,0.215
graph,NaiveBayes,0.207
graph,NNkeras,0.209
graph,NNscikit-learn,0.204
graph,RandomForest,0.206
graph,KNN,0.223
graph,LogisticRegression,0.231
graph,NaiveBayes,0.214
graph,NNkeras,0.222
graph,NNscikit-learn,0.217
graph,RandomForest,0.225
graph,KNN,0.707
graph,LogisticRegression,0.693
graph,NaiveBayes,0.709
graph,NNkeras,0.725
graph,NNscikit-learn,0.716
graph,RandomForest,0.699
graph,KNN,0.216
graph,LogisticRegression,0.230
graph,NaiveBayes,0.212
graph,NNkeras,0.240
graph,NNscikit-learn,0.218
graph,RandomForest,0.218
graph,KNN,0.703
graph,LogisticRegression,0.707
graph,NaiveBayes,0.709
graph,NNkeras,0.700
graph,NNscikit-learn,0.717
graph,RandomForest,0.698
graph,KNN,0.712
graph,LogisticRegression,0.684
graph,NaiveBayes,0.708
graph,NNkeras,0.711
graph,NNscikit-learn,0.708
graph,RandomForest,0.681
best,KNN,0.754
best,LogisticRegression,0.751
best,NaiveBayes,0.183
best,NNkeras,0.757
best,NNscikit-learn,0.758
best,RandomForest,0.716
best,KNN,0.152
best,LogisticRegression,0.129
best,NaiveBayes,0.572
best,NNkeras,0.114
best,NNscikit-learn,0.118
best,RandomForest,0.158
best,KNN,0.780
best,LogisticRegression,0.753
best,NaiveBayes,0.255
best,NNkeras,0.747
best,NNscikit-learn,0.773
best,RandomForest,0.729
best,KNN,0.773
best,LogisticRegression,0.753
best,NaiveBayes,0.238
best,NNkeras,0.721
best,NNscikit-learn,0.773
best,RandomForest,0.720
best,KNN,0.781
best,LogisticRegression,0.758
best,NaiveBayes,0.193
best,NNkeras,0.774
best,NNscikit-learn,0.770
best,RandomForest,0.723
best,KNN,0.753
best,LogisticRegression,0.753
best,NaiveBayes,0.196
best,NNkeras,0.760
best,NNscikit-learn,0.758
best,RandomForest,0.714
best,KNN,0.775
best,LogisticRegression,0.760
best,NaiveBayes,0.191
best,NNkeras,0.738
best,NNscikit-learn,0.776
best,RandomForest,0.718
best,KNN,0.769
best,LogisticRegression,0.753
best,NaiveBayes,0.183
best,NNkeras,0.758
best,NNscikit-learn,0.767
best,RandomForest,0.722
best,KNN,0.775
best,LogisticRegression,0.782
best,NaiveBayes,0.202
best,NNkeras,0.769
best,NNscikit-learn,0.776
best,RandomForest,0.709
best,KNN,0.156
best,LogisticRegression,0.147
best,NaiveBayes,0.596
best,NNkeras,0.094
best,NNscikit-learn,0.127
best,RandomForest,0.145
all,KNN,0.660
all,LogisticRegression,0.574
all,NaiveBayes,0.712
all,NNkeras,0.681
all,NNscikit-learn,0.215
all,RandomForest,0.681
all,KNN,0.656
all,LogisticRegression,0.634
all,NaiveBayes,0.483
all,NNkeras,0.681
all,NNscikit-learn,0.672
all,RandomForest,0.700
all,KNN,0.653
all,LogisticRegression,0.466
all,NaiveBayes,0.510
all,NNkeras,0.681
all,NNscikit-learn,0.642
all,RandomForest,0.694
all,KNN,0.656
all,LogisticRegression,0.559
all,NaiveBayes,0.530
all,NNkeras,0.680
all,NNscikit-learn,0.533
all,RandomForest,0.627
all,KNN,0.663
all,LogisticRegression,0.601
all,NaiveBayes,0.719
all,NNkeras,0.681
all,NNscikit-learn,0.571
all,RandomForest,0.703
all,KNN,0.665
all,LogisticRegression,0.706
all,NaiveBayes,0.713
all,NNkeras,0.676
all,NNscikit-learn,0.236
all,RandomForest,0.700
all,KNN,0.661
all,LogisticRegression,0.640
all,NaiveBayes,0.717
all,NNkeras,0.679
all,NNscikit-learn,0.669
all,RandomForest,0.724
all,KNN,0.669
all,LogisticRegression,0.605
all,NaiveBayes,0.707
all,NNkeras,0.681
all,NNscikit-learn,0.615
all,RandomForest,0.726
all,KNN,0.661
all,LogisticRegression,0.607
all,NaiveBayes,0.723
all,NNkeras,0.680
all,NNscikit-learn,0.339
all,RandomForest,0.700
all,KNN,0.664
all,LogisticRegression,0.637
all,NaiveBayes,0.707
all,NNkeras,0.290
all,NNscikit-learn,0.692
all,RandomForest,0.701
vectorAll,KNN,0.631
vectorAll,LogisticRegression,0.541
vectorAll,NaiveBayes,0.577
vectorAll,NNkeras,0.681
vectorAll,NNscikit-learn,0.229
vectorAll,RandomForest,0.674
vectorAll,KNN,0.631
vectorAll,LogisticRegression,0.598
vectorAll,NaiveBayes,0.421
vectorAll,NNkeras,0.680
vectorAll,NNscikit-learn,0.671
vectorAll,RandomForest,0.694
vectorAll,KNN,0.638
vectorAll,LogisticRegression,0.423
vectorAll,NaiveBayes,0.382
vectorAll,NNkeras,0.681
vectorAll,NNscikit-learn,0.547
vectorAll,RandomForest,0.685
vectorAll,KNN,0.632
vectorAll,LogisticRegression,0.557
vectorAll,NaiveBayes,0.443
vectorAll,NNkeras,0.678
vectorAll,NNscikit-learn,0.680
vectorAll,RandomForest,0.639
vectorAll,KNN,0.638
vectorAll,LogisticRegression,0.609
vectorAll,NaiveBayes,0.574
vectorAll,NNkeras,0.681
vectorAll,NNscikit-learn,0.641
vectorAll,RandomForest,0.718
vectorAll,KNN,0.647
vectorAll,LogisticRegression,0.696
vectorAll,NaiveBayes,0.554
vectorAll,NNkeras,0.681
vectorAll,NNscikit-learn,0.656
vectorAll,RandomForest,0.712
vectorAll,KNN,0.639
vectorAll,LogisticRegression,0.627
vectorAll,NaiveBayes,0.570
vectorAll,NNkeras,0.681
vectorAll,NNscikit-learn,0.462
vectorAll,RandomForest,0.725
vectorAll,KNN,0.654
vectorAll,LogisticRegression,0.587
vectorAll,NaiveBayes,0.552
vectorAll,NNkeras,0.680
vectorAll,NNscikit-learn,0.680
vectorAll,RandomForest,0.705
vectorAll,KNN,0.637
vectorAll,LogisticRegression,0.622
vectorAll,NaiveBayes,0.566
vectorAll,NNkeras,0.680
vectorAll,NNscikit-learn,0.652
vectorAll,RandomForest,0.711
vectorAll,KNN,0.643
vectorAll,LogisticRegression,0.613
vectorAll,NaiveBayes,0.560
vectorAll,NNkeras,0.679
vectorAll,NNscikit-learn,0.681
vectorAll,RandomForest,0.699
bow,KNN,0.684
bow,LogisticRegression,0.685
bow,NaiveBayes,0.131
bow,NNkeras,0.685
bow,NNscikit-learn,0.685
bow,RandomForest,0.685
bow,KNN,0.689
bow,LogisticRegression,0.689
bow,NaiveBayes,0.132
bow,NNkeras,0.685
bow,NNscikit-learn,0.689
bow,RandomForest,0.687
bow,KNN,0.684
bow,LogisticRegression,0.685
bow,NaiveBayes,0.132
bow,NNkeras,0.686
bow,NNscikit-learn,0.687
bow,RandomForest,0.687
bow,KNN,0.685
bow,LogisticRegression,0.685
bow,NaiveBayes,0.131
bow,NNkeras,0.685
bow,NNscikit-learn,0.685
bow,RandomForest,0.685
bow,KNN,0.687
bow,LogisticRegression,0.687
bow,NaiveBayes,0.131
bow,NNkeras,0.689
bow,NNscikit-learn,0.689
bow,RandomForest,0.689
bow,KNN,0.200
bow,LogisticRegression,0.683
bow,NaiveBayes,0.129
bow,NNkeras,0.683
bow,NNscikit-learn,0.685
bow,RandomForest,0.685
bow,KNN,0.691
bow,LogisticRegression,0.692
bow,NaiveBayes,0.136
bow,NNkeras,0.691
bow,NNscikit-learn,0.693
bow,RandomForest,0.693
bow,KNN,0.682
bow,LogisticRegression,0.682
bow,NaiveBayes,0.127
bow,NNkeras,0.682
bow,NNscikit-learn,0.682
bow,RandomForest,0.682
bow,KNN,0.682
bow,LogisticRegression,0.682
bow,NaiveBayes,0.129
bow,NNkeras,0.682
bow,NNscikit-learn,0.682
bow,RandomForest,0.682
bow,KNN,0.690
bow,LogisticRegression,0.688
bow,NaiveBayes,0.134
bow,NNkeras,0.688
bow,NNscikit-learn,0.689
bow,RandomForest,0.689
charngrams,KNN,0.640
charngrams,LogisticRegression,0.612
charngrams,NaiveBayes,0.352
charngrams,NNkeras,0.681
charngrams,NNscikit-learn,0.355
charngrams,RandomForest,0.571
charngrams,KNN,0.638
charngrams,LogisticRegression,0.681
charngrams,NaiveBayes,0.351
charngrams,NNkeras,0.681
charngrams,NNscikit-learn,0.222
charngrams,RandomForest,0.528
charngrams,KNN,0.213
charngrams,LogisticRegression,0.167
charngrams,NaiveBayes,0.397
charngrams,NNkeras,0.196
charngrams,NNscikit-learn,0.200
charngrams,RandomForest,0.285
charngrams,KNN,0.640
charngrams,LogisticRegression,0.530
charngrams,NaiveBayes,0.224
charngrams,NNkeras,0.681
charngrams,NNscikit-learn,0.638
charngrams,RandomForest,0.470
charngrams,KNN,0.642
charngrams,LogisticRegression,0.664
charngrams,NaiveBayes,0.370
charngrams,NNkeras,0.681
charngrams,NNscikit-learn,0.375
charngrams,RandomForest,0.561
charngrams,KNN,0.654
charngrams,LogisticRegression,0.681
charngrams,NaiveBayes,0.281
charngrams,NNkeras,0.681
charngrams,NNscikit-learn,0.626
charngrams,RandomForest,0.596
charngrams,KNN,0.233
charngrams,LogisticRegression,0.195
charngrams,NaiveBayes,0.148
charngrams,NNkeras,0.196
charngrams,NNscikit-learn,0.217
charngrams,RandomForest,0.253
charngrams,KNN,0.645
charngrams,LogisticRegression,0.681
charngrams,NaiveBayes,0.336
charngrams,NNkeras,0.681
charngrams,NNscikit-learn,0.421
charngrams,RandomForest,0.567
charngrams,KNN,0.238
charngrams,LogisticRegression,0.267
charngrams,NaiveBayes,0.161
charngrams,NNkeras,0.196
charngrams,NNscikit-learn,0.220
charngrams,RandomForest,0.317
charngrams,KNN,0.653
charngrams,LogisticRegression,0.586
charngrams,NaiveBayes,0.281
charngrams,NNkeras,0.679
charngrams,NNscikit-learn,0.563
charngrams,RandomForest,0.551
ngrams,KNN,0.612
ngrams,LogisticRegression,0.576
ngrams,NaiveBayes,0.355
ngrams,NNkeras,0.677
