features,classifiers,macrof
sentiment,KNN,0.265
sentiment,LogisticRegression,0.265
sentiment,NaiveBayes,0.265
sentiment,NNkeras,0.265
sentiment,NNscikit-learn,0.265
sentiment,RandomForest,0.265
spelling,KNN,0.327
spelling,LogisticRegression,0.290
spelling,NaiveBayes,0.290
spelling,NNkeras,0.290
spelling,NNscikit-learn,0.290
spelling,RandomForest,0.334
syntax,KNN,0.352
syntax,LogisticRegression,0.290
syntax,NaiveBayes,0.290
syntax,NNkeras,0.290
syntax,NNscikit-learn,0.290
syntax,RandomForest,0.344
